Title,Author,Price
On Being Ill,"WOOLF, VIRGINIA","US$ 3,601.87"
A Time to Dance and Other Poems,"DAY LEWIS, C.",US$ 94.79
The Dark Island,"SACKVILLE-WEST, V.",US$ 227.49
The Dark Island,"SACKVILLE-WEST, V.",US$ 37.91
Adventure,"NANSEN, FRIDTJOF",US$ 43.22
Three Guineas,"WOOLF, VIRGINIA",US$ 34.12
The Writings of E.M. Forster,"MACAULAY, ROSE",US$ 56.87
Pack My Bag: A Self-Portrait,"GREEN, HENRY",US$ 947.86
The Common Sense of the World Peace,"Wells, H. G.",US$ 83.16
Goodbye to Berlin,"Isherwood, Christopher",US$ 32.32
"Reminiscences of Tolstoy, Chekhov and Andreev",Maxim Gorky,US$ 96.97
Roger Fry,"Woolf, Virginia","US$ 1,422.29"
Civilization and its Discontents,"Freud, Sigmund; Riviere, Joan (trans)",US$ 443.52
UNHOLY MEMORIES OF THE HOLY LAND.,"HORACE B. SAMUEL,",US$ 122.83
"The Future of an Illusion (International Psycho-Analytical Library, No. 15)","Freud, Sigmund) Strachey, James (editor) Robson-Scott, W.D. (Trans)",US$ 65.00
Lions and Shadows,Christopher Isherwood,US$ 185.00
IMPENETRABILITY Or the Proper Habit of English.,"Graves, Robert.",US$ 142.23
Pharos and Pharillon,"Forster, E.M.",US$ 187.48
In a Province.,"VAN DER POST, Laurens.","US$ 3,232.48"
SALLY BOWLES.,"ISHERWOOD, Christopher.",US$ 510.73
SOCRATES,NAOMI MITCHISON AND R H S CROSSMAN,US$ 12.93
The Years.,"WOOLF, Virginia.","US$ 1,616.24"
"Civilization, War and Death - Selections from three works.","FREUD, Sigmund.",US$ 323.25
An Autobiographical Study.,"FREUD, Sigmund.","US$ 12,283.42"
The New Realism A Discussion (Hogarth Sixpenny Pamphlets Number Two),Stephen Spender,US$ 18.10
Solitude: A Poem,"SACKVILLE-WEST, V.",US$ 25.23
Flush,"Woolf, Virginia",US$ 452.55
Poems,"RYLANDS, George",US$ 400.00
Family History,"Sackville-West, V.",US$ 25.86
Solitude : A Poem.,"SACKVILLE-WEST, Vita.",US$ 226.27
A SAMPLER OF CASTILE.,"FRY, Roger.",US$ 284.46
Monday or Tuesday,"Woolf, Virginia","US$ 2,250.00"
Antiquarian Prejudice (Hogarth Sixpenny Pamphlets Number Three),John Betjeman,US$ 25.00
Some Early Impressions.,"STEPHEN, Leslie.:",US$ 32.32
The Common Reader,"Woolf, Virginia",US$ 213.34
THE NOTE-BOOKS OF ANTON TCHEKHOV TOGETHER WITH THE REMINISCENCES OF TCHEKHOV,Maxim Gorky,US$ 20.00
To The Lighthouse with review slip,"Woolf, Virginia","US$ 21,334.35"
Mrs. Dalloway,"Woolf, Virginia","US$ 6,500.00"
"Essays, Poems and Letters. Edited by Quentin Bell.",Julian Bell.,US$ 310.32
The Years.,Virginia Woolf.,US$ 45.25
Later Poems,"Rilke, Rainer Maria; Leishman, J B (Trans and intro)",US$ 18.20
The Future of an Illusion,"Freud, Sigmund",US$ 32.32
ALLEGRA,ORIGO IRIS,US$ 90.51
"A Time to Dance, and Other Poems","Lewis, C. Day",US$ 21.50
The Whirligig of Taste.,"KELLETT, E.E.",US$ 8.46
"Collected Poems, Vol. 1",V Sackville-West,US$ 60.44
"COLLECTED PAPERS. By Sigm. Freud, M.D., LL.D. Authorized Translation under the Supervision of Joan Riviere. (The International Psycho-Analytical LIbrary Nos. 7- 10) Vol. I, Early Papers. On the History of the Psycho-Analytic Movement. Vol. II, Clinical Papers. Papers on Technique. Vol. III, Case Histories. Authorized translation by Alin and James Strachey. Vol. IV, Papers on Metapsychology. Papers on Applied Psycho-Analysis.","FREUD, SIGMUND.",US$ 193.95
The Common Reader. Second Series,Woolf Virginia,US$ 38.79
The Northern Saga,E.E. Kellett,US$ 45.00
A Room of One's Own,Virginia Woolf,US$ 58.18
Sado,William Plomer,US$ 129.30
Monday or Tuesday,Virginia Woolf,"US$ 2,392.03"
Saturday Night at the Greyhound.,"HAMPSON, John.",US$ 96.97
Posterity,Stephen King-Hall,US$ 4.53
England's Pleasant Land,E.M. Forster,US$ 25.86
Histriophone A Dialogue on Dramatic Diction,"Dobree, Bonamy",US$ 25.86
POEMS.,"Rylands, George.",US$ 200.00
Pepita,V Sackville-West,US$ 4.85
Coeducation: In its Historical and Theoretical Setting,"Pekin, L.B.",US$ 3.97
The Crisis and the Constitution: 1931 and After,"Laski, Harold J.",US$ 41.71
The Judgement of Francois Villon - a pageant-episode play in Five Acts (UK SIGNED Limited Edition),"Palmer, Herbert E.",US$ 36.20
The unknown murderer. Transl. from the German by Katherine Jones. The international psycho-analytical library No. 27.,"Reik, Theodor:",US$ 49.90
The Common Reader. Second Series. Association Copy,"Woolf, Virginia (1882-1941)","US$ 2,454.99"
Flush : A Biography,"Woolf, Virginia",US$ 88.20
Flush : A Biography : Uniform Edition,"Woolf, Virginia",US$ 87.50
Flush_ A Biography,"Woolf, Virginia",US$ 55.44
A SAMPLER OF CASTILE.,"FRY, Roger.",US$ 271.10
CEZANNE A STUDY OF HIS DEVELOPMENT.,"CEZANNE : FRY, Roger.",US$ 67.78
SATURDAY NIGHT AT THE GREYHOUND,"Hampson, John",US$ 51.72
Mr Baldwin Explains.and other Dream Interviews,Peter Ibbertson,US$ 75.00
England's pleasant land : a pageant play,"Forster, E.M. (Edward Morgan) (1879-1970)",US$ 94.25
The writings of E.M. Forster,"Macaulay, Rose (1881-1958)",US$ 38.81
"Further Contributions to the Theory and Technique of Psycho-Analysis [the International Psycho-Analytical Library, No. 11]",Sandor Ferenczi; John Rickman [Compiler]; Jane Isabel Suttie [Translator];,US$ 39.95
The Whirligig of Taste. Hogarth Lectures No. 3,"Kellett, E.E.",US$ 15.17
On the Nightmare [ International Psych-Analytical Library No 20 ],Jones Ernest,US$ 62.06
The common reader,"Woolf, Virginia",US$ 650.00
Ritual Psycho-Analytic Studies.The International Psycho-Analytical Library,Theodor Reik,US$ 25.00
Group Psychology and the Analysis of the Ego,"Freud, Sigmund - translated by James Strachey",US$ 8.41
The Years.,"WOOLF, VIRGINA.",US$ 101.66
Noah and The Waters,Day Lewis. Cecil,US$ 23.27
THE CASE IS ALTERED,"PLOMER, William",US$ 96.97
Theodor Reik. The Unknown Murderer. The International Psycho-Analytical Library No. 27,"Reik, Theodor",US$ 32.00
The Dark Island. A novel.,V.SACKVILLE-WEST.,US$ 38.79
"Collected Poems, 1929-1933: Transitional Poem; From Feathers to Iron; The Magnetic Mountain","Lewis, C. D.",US$ 4.54
The Magnetic Mountain,"Lewis, C. D.",US$ 4.64
Journey to the Border.,"UPWARD, Edward.",US$ 678.82
PEPITA.,SACKVILLE-WEST V.,US$ 64.65
COMMON READER: SECOND SERIES.|THE,"Woolf, Virginia",US$ 250.00
The Edwardians.,"SACKVILLE-WEST, Vita.","US$ 1,616.24"
Mrs. Dalloway,"Woolf, Virginia",US$ 64.65
POEMS,"Bell, Clive",US$ 420.00
New Introductory Lectures on Psycho-Analysis. The International Psycho-Analytical Library Edited By Ernest Jones No. 24,Sigmund Freud and Walter John Herbert Sprott,US$ 22.95
England's pleasant land : a pageant play,"Forster, E.M. (Edward Morgan) (1879-1970)",US$ 95.20
Flush : a biography,"Woolf, Virginia (1882-1941)",US$ 57.46
Three guineas,"Woolf, Virginia (1882-1941)",US$ 54.40
The writings of E.M. Forster,"Macaulay, Rose (1881-1958)",US$ 44.20
Tragedy in relation to Aristotle's Poetics,"Lucas, F.L. (Frank Laurence) (1894-1967)",US$ 27.83
Tragedy in relation to Aristotle's Poetics,"Lucas, F.L. (Frank Laurence) (1894-1967)",US$ 26.86
Monday or Tuesday,Virginia Woolf,"US$ 4,396.17"
The End of the Laissez-Faire,John Maynard-Keynes,"US$ 10,343.93"
Mr. Norris Changes Trains,Christopher Isherwood,US$ 250.00
Three Guineas,"Woolf, Virginia",US$ 129.30
Impenetrability; or The Proper Habit of English,"Graves, Robert",US$ 175.00
A Time To Dance,C. Day Lewis,US$ 12.93
THE MEMORIAL,"ISHERWOOD, Christopher",US$ 853.37
Stories of the East.,"WOOLF, Leonard.","US$ 4,525.47"
Cambridge Poetry 1930,"Davenport, J. et al (ed)",US$ 4.24
"Poems (handprinted by Virginia and Leonard Woolf - with dust jacket),","Rylands, George:",US$ 299.37
Flush : a biography,"Woolf, Virginia (1882-1941)",US$ 53.22
Three guineas,"Woolf, Virginia (1882-1941)",US$ 49.90
Tragedy in relation to Aristotle's Poetics,"Lucas, F.L. (Frank Laurence) (1894-1967)",US$ 21.01
Tragedy in relation to Aristotle's Poetics,"Lucas, F.L. (Frank Laurence) (1894-1967)",US$ 19.96
Collected Poems. 1929 TO 1933.,Day C. Lewis,US$ 3.88
The Close Chaplet,"Gottschalk, Laura Riding","US$ 3,500.00"
"Collected Poems 1929 to 1933: Transitional Poem, From Feathers to Iron, The Magnetic Iron",C. Day Lewis,US$ 7.76
Passenger To Tehran,"Sackville West, V. (Vita)",US$ 176.00
Three Guineas (UK HB 1st - 1938),"Woolf, Virginia",US$ 323.25
MOCK BEGGAR HALL,"Graves, Robert",US$ 400.00
FLUSH: A Biography,"WOOLF, Virgina",US$ 64.65
The Years,"WOOLF, Virgina",US$ 90.51
Flush. A Biography,"Woolf, Virginia",US$ 213.34
Notes on English verse satire,"Wolfe, Humbert",US$ 69.70
The course of English classicism from the Tudor to the Victorian age,"Vines, Sherard (1890-1974)",US$ 57.46
Between the acts,"Woolf, Virginia (1882-1941)",US$ 57.46
"Pepita(Hardback,3rd Impression,1937)",V.Sackville-West,US$ 12.93
Notes on English verse satire,"Wolfe, Humbert",US$ 66.53
Between the acts,"Woolf, Virginia (1882-1941)",US$ 53.22
The course of English classicism from the Tudor to the Victorian age,"Vines, Sherard (1890-1974)",US$ 53.22
"Aftermath(Hardback,w/dust jacket,1st Edition,1941)",R.C.Trevelyan,US$ 64.65
A Letter to Madan Blanchard.,"FORSTER, E.M.",US$ 96.97
THE WAVES,Virginia Woolf,US$ 975.00
A ROOM OF ONE'S OWN [Signed Limited],Virginia Woolf,"US$ 9,500.00"
Between the acts,"Woolf, Virginia (1882-1941)",US$ 83.16
Three guineas,"Woolf, Virginia (1882-1941)",US$ 85.00
Between the acts,"Woolf, Virginia (1882-1941)",US$ 85.00
Catchwords and claptrap,"Macaulay, Rose (1881-1958)",US$ 74.80
The Edwardians,"Sackville-West, V. (Victoria) (1892-1962)",US$ 31.05
The Edwardians,"Sackville-West, V. (Victoria) (1892-1962)",US$ 37.06
"Pack My Bag: A Self Portrait Green, Henry","Green, Henry",US$ 44.41
"The Structure of The Novel [Hogarth Lectures on Literature (First Series), No. 6]","MUIR, Edwin (1887-1959)",US$ 135.00
"Inhibitions, Symptoms and Anxiety translated by Alix Strachey","FREUD, Sigmund",US$ 350.00
Family History,"Sackville-West, V.",US$ 22.75
Henry James At Work,"Bosanquet, Theodora",US$ 200.00
NOAH AND THE WATERS.,"DAY LEWIS, C.",US$ 45.25
The Years,"Woolf, Virginia",US$ 640.03
Hogarth Living Poets No 17 - a Broadcast Anthology of Modern Poetry,"Wellesley, Dorothy (ed)",US$ 109.90
The Memorial,"ISHERWOOD, Christopher",US$ 517.20
Solitude A Poem,V.Sackville-West,US$ 29.94
The Ego and the Id,"Freud, Sigmund","US$ 3,500.00"
Woman of India: Being the Life of Saroj Nalini,"Dutt, G. S.",US$ 39.95
Reminiscences of Leo Nicolayevitch Tolstoi,Maxim Gorky,US$ 93.10
Party Going (UK HB 1st - 1939),"Green, Henry",US$ 36.20
Jacob's Room.,"WOOLF, Virginia.","US$ 35,000.00"
Goodbye to Berlin / by Christopher Isherwood,"Isherwood, Christopher (1904-1986)",US$ 263.50
The Edwardians,"Sackville-West, V. (Victoria) (1892-1962)",US$ 69.70
The Waves,"Woolf, Virginia",US$ 108.00
A Time to Dance,Cecil Day Lewis,US$ 58.18
The Unknown Murderer,"Reik, Theodor",US$ 25.00
Pharos and Pharillon,E. M. Forster,US$ 426.69
The Years,Virginia Woolf,US$ 969.74
MOSES AND MONOTHEISM,"Freud, Sigmund",US$ 57.50
Goodbye to Berlin / by Christopher Isherwood,"Isherwood, Christopher (1904-1986)",US$ 277.20
The Edwardians,"Sackville-West, V. (Victoria) (1892-1962)",US$ 66.53
Pack My Bag,"GREEN, Henry.",US$ 96.97
The Psycho-Analysis of Children,"Klein, Melanie",US$ 24.95
Parallax,"Cunard, Nancy",US$ 775.79
Three Guineas,"Woolf, Virginia",US$ 54.31
Letters to Frederick Tennyson,"Schonfield, H.J.",US$ 4.68
The Triumphant Machine : A Study of Machine Civilisation,R. M. Fox,US$ 187.48
To the Lighthouse.,"Woolf, Virginia","US$ 22,500.00"
Civilization and its Discontents,Trans. by Joan Riviere,US$ 12.93
New Introductory Lectures On Psycho-Analysis [ Psychoanalysis ],Sigmund Freud,US$ 12.93
A LETTER TO W.B. YEATS,"Strong, L.A.G.",US$ 40.25
THE YEARS.,"WOOLF, Virginia.",US$ 49.13
NOAH AND THE WATERS.,"DAY LEWIS, C.",US$ 6.46
Rochester. A Conversation between Sir George Etherege and Mr. Fitzjames,"Dobree, Bonamy",US$ 50.00
The Future of An Illusion : The International Psycho-Analytical Library Edited by Ernest Jones No. 15,Sigmund Freud,US$ 32.32
Daylight: European Arts and Letters. Yesterday: Today: Tomorrow,HOGARTH PRESS,US$ 10.02
"The Judgment of Francois Villon: A Pageant-Episode Play in Five Acts by Palmer, Herbert Edward","Palmer, Herbert Edward",US$ 240.00
The Edwardians,"Sackville-West, V.",US$ 45.13
Kew Gardens,Virginia Woolf,"US$ 2,500.00"
Reviewing. With a Note by Leonard Woolf.,"Woolf, Virginia.",US$ 90.00
To the Lighthouse. Uniform Edition.,Vriginia Woolf,US$ 71.11
"The fortunes and misfortunes of the famous Moll Flanders . ,","Defoe, Daniel",US$ 17.48
After the Deluge - A Study of Communal Psychology - Vol. II - 1830 and 1832,Leonard Woolf,US$ 60.00
Mr. Norris Changes Trains,Christopher Isherwood,"US$ 1,551.59"
The Authorship of Wuthering Heights,"Willis, Irene Cooper",US$ 67.44
In a Province.,"VAN DER POST, Laurens.","US$ 2,262.73"
Poems.,"HOGARTH PRESS. RYLANDS, George.",US$ 323.25
The Unknown Murderer,"Reik, Theodor",US$ 75.00
A Letter to Madan Blanchard [The Hogarth Letters No. 1],"Forster, E. M.",US$ 65.00
The Hoax,Italo Svevo : Beryl de Zoete (translator),US$ 129.30
Journey to the Border,Edward Upward,US$ 84.04
GROUP PSYCHOLOGY AND THE ANALYSIS OF THE EGO. AUTHORIZED TRANSLATION BY JAMES STRACHEY.,Sigmund Freud.,US$ 75.00
Flush; A Biography,"Woolf, Virginia","US$ 2,000.00"
Transition: Essays on Contemporary Literature,"MUIR, Edwin",US$ 35.00
LETTERS OF STEPHEN REYNOLDS,"Wright, Harold.",US$ 45.25
Socrates,"Mitchison, Naomi; R.H.S. Crossman",US$ 25.00
Stravinsky's Sacrifice to Apollo,Eric Walter White,US$ 35.00
Poems,"BELL, Clive (1881-1964)",US$ 765.00
Collected Poems 1929 to 1933 | Transitional Poem - From Feathers to Iron - The Magnetic Mountain,"Lewis, C. Day [Cecil Day-Lewis (or Day Lewis) CBE (27 April 1904 - 22 May 1972), often writing as C. Day-Lewis, was an Anglo-Irish poet and the Poet Laureate of the United Kingdom from 1968 until his death in 1972. He also wrote mystery stories under the pseudonym of Nicholas Blake].",US$ 45.25
A Garden Revisited and Other Poems,"Lehmann, John",US$ 66.53
"Inhibitions, Symptoms and Anxiety",Sigmund Freud,US$ 15.52
Civilization and its Discontents,Sigmund Freud,US$ 15.52
Psycho-Analysis of the Neuroses,Helene Deutsch,US$ 25.86
Noah and the Waters,C. Day Lewis,US$ 95.00
The Common Reader. Second Series. 3200 COPIES WERE PRINTED,WOOLF Virginia,US$ 95.68
From Feathers To Iron,C Day Lewis,US$ 24.57
"Impenetrability, or, the Proper Habit of English.","Graves, Robert",US$ 193.95
ALLEGRA.,"ORIGO, Iris.",US$ 103.44
The Defeat of Baudelaire.,"LAFORGUE, Rene.:",US$ 38.79
Cezanne A Study of His Development,Roger Fry,US$ 100.00
Lancashire Under the Hammer,B. Bowker,US$ 10.00
Moll Flanders,"Defoe, Daniel; King, Alexander (ills)",US$ 55.44
A Room of One's Own,Virginia Woolf,"US$ 1,000.00"
England's Pleasant Land: A Pageant Play,E. M. Forster,US$ 22.50
Books and the People.,"Cole, Margaret.",US$ 25.00
What We Saw in Russia.,"Bevan, Aneurin, E. J. Strachey, and George Strauss.",US$ 190.00
The Secret of Hitler's Victory,Peter and Irma Petroff,US$ 64.65
Pharos and Pharillon,E.M.Forster,US$ 12.93
The Common Sense of World Peace,H G Wells,US$ 25.80
The mugwumps and the Labour Party,"Garratt, G. T. (Geoffrey Theodore) (1888-1942)",US$ 16.58
THE SATYRICON,Petronius Arbiter,US$ 35.00
Selected Poems,"Sackville-West, V",US$ 22.63
Stories from the Old Testament retold by Logan Pearsall Smith.,"HOGARTH PRESS. SMITH, Logan Pearsall.",US$ 323.25
"White Capital and Coloured Labour (New Edition, Rewritten and Revised)",Lord Olivier,US$ 22.63
The Note-Books of Anton Tchekhov Together With Reminiscences of Tchekov by Maxim Gorgy,Maxim Gorgy,US$ 49.46
CAWDOR,"Jeffers, Robinson",US$ 150.00
NEW WRITING. [New Series 3.],"LEHMANN,, John (ed.)",US$ 18.64
Politics and Literature (Hogarth Lectures no. 11),G D H Cole,US$ 19.33
Contemporary Techniques of Poetry; A Political Analogy.,"Graves, Robert",US$ 44.35
Lions and Shadows. An Education in the Twenties. SIGNED,"Isherwood, Christopher",US$ 750.00
A Garden Revisited and Other Poems. Hogarth Living Poets No. 21,"Lehmann, John",US$ 129.30
Art and Commerce,Roger Fry,US$ 32.32
The Development of English Biography,Harold Nicolson,US$ 95.00
Jacob's Room,"Woolf, Virginia",US$ 950.00
The mugwumps and the Labour Party,"Garratt, G. T. (Geoffrey Theodore) (1888-1942)",US$ 23.75
"New introductory lectures on psycho-analysis : Authorized translation by W.J.H. Sprott . International psycho-analytical library, edited by Ernest Jones ; no.24.","FREUD, Sigmund.:",US$ 84.04
An autobiographical study. Authorized translation by James Strachey. International psycho-analytical library. Edited by Ernest Jones ; no.26.,"FREUD, Sigmund.:",US$ 122.83
THE CRITIC AND JUDGEMENT OR BELSHAZAAR OF BARONSCOURT,"Murry, J. Middleton (Virginia & L. Woolf pub. by)",US$ 300.00
"Psycho-Analytic Study of the Family. International Psycho-Analytical Library No. 3 [Hardcover] Flugel, John Carl","Flugel, John Carl",US$ 62.75
Jacob's Room,"WOOLF, Virginia","US$ 1,228.34"
Living Painters. With an Introduction by Roger Fry,"GRANT, Duncan (1885-1978)","US$ 1,365.00"
Henry James at Work,Theodora Bosanquet,US$ 226.27
Anonymity,"Forster, E.M.",US$ 250.00
Superstition and Society based on six lectures delivered in the summer of 1937 at the Institute of Psycho-Analysis (Series Psycho-Analytical Epitomes No. 3),"Money-Kyrle, R. (Roger)",US$ 75.00
Monday or Tuesday.,"WOOLF, Virginia.","US$ 2,262.73"
The Memorial - Portrait of a Family.,"ISHERWOOD, Christopher.",US$ 743.47
BETWENN THE ACTS,"WOOLF, VIRGINIA",US$ 39.00
Original Letters from India (1779-1815),FAY Mrs Eliza,US$ 51.72
Impenetrability or the proper habit of English [ Cover titling : Hogarth's Essays. Second Series ],"Graves, Robert",US$ 95.00
Monday or Tuesday,Virginia Woolf,"US$ 1,800.00"
Collected poems,"Lewis, C.D.",US$ 7.76
Lions and Shadows: An Education in the Twenties.,"Isherwood, Christopher",US$ 850.00
Stravinsky's Sacrifice To Apollo,"WHITE, ERIC WALTER",US$ 100.00
Dream Analysis. The International Psycho-Analytical Library No. 29.,Ella Freeman. Sharpe.,US$ 49.95
Daylight. European Arts and Letters. Yesterday : Today : Tomorrow. Volume I [All published.],"[Lehmann (John, Editor)]",US$ 51.72
The Common Reader: Second Series,"Woolf, Virginia",US$ 175.00
In a Province,"van der Post, Laurens",US$ 820.00
The Northern Saga,"Kellett, E.E.",US$ 323.25
Collected Poems 1929 - 1936,C. Day Lewis,US$ 1.56
A Letter to W. B. Yeats.,"Strong, L. A. G.",US$ 20.00
The Hogarth Letters.,"Woolf, Virginia [et al].",US$ 200.00
The Common Reader (first edition),"Woolf, Virginia",US$ 325.00
History as direction,"Hoyland, John S.",US$ 20.00
The Mark on the Wall,"Woolf, Virginia",US$ 725.00
Goodbye to Berlin.,"ISHERWOOD, Christopher.","US$ 2,004.14"
ADVENTURES IN INVESTING.,"'SECURITAS.', ( C. PATRICK THOMPSON).",US$ 116.37
Collected Poems 1929 to 1933. Transitional Poem; From Feathers to Iron: The Magnetic Mountain.,"LEWIS, Cecil Day.",US$ 272.25
Anonymity An Enquiry,"Forster, E M",US$ 25.86
"Essays on Literature, History Politics, Etc.","Woolf, Leonard",US$ 54.22
Mock Beggar Hall; With a cover design by William Nicholson,"Graves, Robert",US$ 450.00
THE RIDDLE OF THE SPHINX. The International Psycho-Analytical Library No. 25,"Roheim, Geza",US$ 73.20
The Common Reader First series,Virginia Woolf,US$ 32.32
LATER POEMS.,"RILKE, RAINER MARIA.",US$ 33.62
SOME EARLY IMPRESSIONS.,"STEPHEN, Leslie.",US$ 38.79
Walter Sickert: A Conversation by Virginia Woolf,"WOOLF, VIRGINIA",US$ 325.00
THE JUDGEMENT OF FRANCOIS VILLON. A Pageant-Episode Play In Five Acts inscribed and signed by Palmber #367,"Palmer, Herbert Edward",US$ 320.00
All Passion Spent,V. Sackville - West,US$ 720.00
The Case is Altered,Plomer. William,US$ 43.45
Walking Shadows :Lotte Reiniger,Eric Walter White,US$ 250.00
To the Lighthouse.,"WOOLF, Virginia.","US$ 27,500.00"
Romance of a Harem,"Forestier-Walker, Clarence (transl.)",US$ 25.00
A Letter to Madan Blanchard,E.M.Forster,US$ 25.86
Collected Poems Vol. 1,Vita Sackville West,US$ 65.00
Mr. Norris Changes Trains [signed By Author],"Isherwood, Christopher","US$ 5,500.00"
The Common Reader,"Woolf, Virginia","US$ 2,800.00"
Solitude - A Poem,V. Sackville-West,US$ 35.00
Pepita,"Sackville West, V.",US$ 19.39
Work for the Winter and Other Poems,Julian Bell,US$ 193.95
Roger Fry: a Biography,"Woolf, Virginia, Illustrated by b/w Photos",US$ 24.00
The Fortunes and Misfortunes of the Famous Moll Flanders,"Defoe, Daniel",US$ 16.74
[Bloomsbury] Poems and Fables [Unopened],"TREVELYAN, R. C. [Robert Calverl(e)y], (1872-1951)",US$ 535.00
"All Passion Spent. BRIGHT, CLEAN, CRISP COPY",SACKVILLE-WEST Vita,US$ 144.81
The Common Reader. Second Series.,"Woolf, Virginia",US$ 95.00
Poems For Spain,"Spender, Stephen & Lehmann, John, Editors",US$ 50.46
A Letter to an M.P. on Disarmament. The Hogarth Letters no. 2.,"Cecil, Viscount.",US$ 100.00
Letter to a Sister. The Hogarth Letters no. 3.,"Lehmann, Rosamond.",US$ 100.00
"QUACK, QUACK!","WOOLF, Leonard.",US$ 116.37
Work In Hand (The New English Library Vol VI),"Robert Graves,Norman Cameron and Alan Hodge",US$ 32.32
Collected Poems,"Day Lewis, (C.)",US$ 25.86
Cambridge Poetry 1929,"Saltmarsh (Christopher), John Davenport and Basil Wright (editors)",US$ 38.79
HENRY JAMES AT WORK,"BOSANQUET, Theodora",US$ 290.92
Mrs Dalloway.,"Woolf, Virginia","US$ 56,000.00"
PEPITA.,"SACKVILLE-WEST,, V.",US$ 16.40
The Case is Altered,"PLOMER, William (1903-1973)",US$ 129.30
A Letter to A Sister,Roasmond Lehmann,US$ 24.73
"Inhibitions, Symptoms and Anxiety","Freud, Sigmund; Strachey, Alix",US$ 64.65
Between the Acts.,"WOOLF, Virginia.",US$ 300.00
Adventure and other papers,"Nansen, Fridtjof",US$ 42.03
The Dark Island.,"SACKVILLE-WEST, V.",US$ 484.87
"England's Pleasant Land, A Pageant Play",E. M. Forster,US$ 40.00
The Satyricon of Petronius Arbiter in the Translation Attributed to Oscar Wilde,"Arbiter, Petronius and Oscar Wilde",US$ 9.06
The Note-Books of Anmton Tchekhov together with Reminiscences of Tchekhov by Maxim Gorki,Anton Tchekov; Maxim Gorky,US$ 30.00
THE WAVES. Signed,"Woolf, Virginia","US$ 7,775.00"
Different Days.,Cornford (Frances).,US$ 71.11
"A Sampler of Castile (no. 336 of 500),","Fry, Roger:",US$ 121.97
ANONIMITY an Enquiry,"Forester, E.M.",US$ 69.00
Between the Acts,"Woolf, Virginia",US$ 568.72
A Letter to a Grandfather,"West, Rebecca",US$ 15.00
Grace After Meat,John Crowe Ransom,US$ 400.00
On the Nightmare,"Jones, Ernest",US$ 64.65
The Judgment of François Villon. A Pageant-Episode Play in Fiver Acts. Limited Edition,"Palmer, Herbert Edward",US$ 62.45
"The Common Sense of World Peace: an address delivered in the Reichstag at Berlin, on Monday, April 15th, 1929.",H.G. Wells,US$ 58.18
Cheerful Weather for the Wedding.,Strachey (Julia).,US$ 129.30
Mockbeggar Hall. With a Cover Design by William Nicholson.,Robert Graves,US$ 375.00
England's Pleasant Land A Pageant Play.,"Forster, E. M.",US$ 24.57
Revolution in Writing.,"LEWIS,, C. Day.",US$ 13.42
Anatomy of African Misery.,Lord Olivier,US$ 51.72
Lancashire Under the Hammer.,"Bowker, B.:",US$ 11.37
Noah And The Waters,"Lewis, C. Day",US$ 19.80
The Common Reader,Virginia Woolf,"US$ 3,620.37"
AN AUTOBIOGRAPHICAL STUDY,"FREUD, Sigmund translated by James Strachey",US$ 12.93
LIFE AS WE HAVE KNOWN IT. By Co-Operative Working Women.,"DAVIES, Margaret Llewelyn (editor).",US$ 101.66
The judgment of Franc?ois Villon : a pageant-episode play in 5 acts / by Herbert Edward Palmer,"Palmer, Herbert Edward (1880-1961)",US$ 37.06
Flush : a biography / Virginia Woolf,"Woolf, Virginia (1882-1941)",US$ 921.40
The judgment of Franc?ois Villon : a pageant-episode play in 5 acts / by Herbert Edward Palmer,"Palmer, Herbert Edward (1880-1961)",US$ 31.05
Flush : a biography / Virginia Woolf,"Woolf, Virginia (1882-1941)",US$ 992.37
White Capital and Coloured Labour,Lord Olivier,US$ 10.00
Original Letters from India (1779-1815): Mrs. Eliza Fay,"Forster, E.M.",US$ 18.00
Reminiscences of Leo Nicolayevitch Tolstoi ET from Russian By Koteliansky & Woolf,"Gorky, Maxim",US$ 196.53
The Question of the House of Lords.,A. L. Rowse.,US$ 38.79
"Selected Papers of Karl Abraham, M. D.",Ernest Jones. Karl Abraham.,US$ 58.18
From Moscow to Samarkand,Y.Z. ( Freda Utley),US$ 38.79
The Edwardians,"Sackville-West, Vita",US$ 193.95
Flush: A Biography,"Woolf, Virginia",US$ 20.00
The Waves: Uniform Edition,"Woolf, Virginia",US$ 323.25
Some Religious Elements in English Literature.,"MACAULAY, Rose.",US$ 122.83
THE WAVES. Custom Slipcase (BOOK not included),"Woolf, Virginia",US$ 275.00
A LETTER TO A GRANDFATHER,"West, Rebecca",US$ 45.00
A GENERAL SELECTION FROM THE WORKS OF SIGMUND FREUD,"John Rickman, M.D. [Edited by]",US$ 84.04
Hogarth Lectures No.15. Poetry in France and England.,"Stewart, Jean",US$ 3.88
The judgment of Francois Villon : a pageant-episode play in five acts / by Herbert Edward Palmer,"Palmer, Herbert E. (1880-1961)",US$ 95.20
The Race Problem in Africa : The Merttens Lecture 1931,"Buxton, Charles Roden",US$ 68.00
The Race Problem in Africa,"BUXTON, Charles Roden M.P.",US$ 25.86
The Ego and the Id [The International Psycho-Analytical Library No. 12],"Freud, Sigmund [Joan Riviere (trans.)]",US$ 46.40
The Future of an Illusion [The International Psycho-Analytical Library No. 15],"Freud, Sigmund [W. D. Robson-Scott (trans.)]",US$ 46.40
